ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
0.002574,-0.001697,0.017357,0.02327,0.009473,-0.008596,-0.031263,0.022285,0.026227,0.026227
0.006516,-0.004325,0.022285,0.026227,0.009801,-0.006624,-0.029949,0.021299,0.010458,0.041996
0.004874,-0.006624,0.010458,0.035754,0.009801,-0.006953,-0.028964,0.020314,0.010458,0.020314
0.008159,-0.004325,0.011772,0.02557,0.011444,-0.011552,-0.027978,0.020642,0.007173,0.008487
0.006845,-5.4e-05,0.012429,0.026884,0.01013,0.003888,-0.040133,0.022942,0.002245,0.00783
0.008159,0.002574,0.006516,0.02557,0.013744,0.002245,-0.026993,0.021956,0.000274,0.001917
0.008159,0.006516,0.020314,0.025899,0.011772,-0.00104,-0.028964,0.023928,0.008159,-0.010567
0.011444,0.003231,0.015715,0.022285,0.009473,-0.006624,-0.029949,0.022942,0.009144,-0.001368
0.013744,-0.003668,0.017029,0.022942,0.006188,-0.002354,-0.029949,0.022942,0.005859,0.005859
0.005859,-0.006296,0.015386,0.024913,0.00783,-0.007282,-0.029621,0.021956,0.009473,0.005531
0.00783,-0.004982,0.017029,0.025242,0.009801,-0.007282,-0.030278,0.021299,0.006188,0.015058
0.005531,-0.001368,0.018671,0.022942,0.006845,-0.004982,-0.027978,0.023599,0.005202,0.037397
-0.000383,0.001588,0.019328,0.022942,0.007502,-0.006296,-0.027978,0.022942,0.023599,0.006845
-0.008924,-0.004325,0.020642,0.020971,0.000931,-0.015494,-0.030278,0.022285,0.015715,0.019985
-0.010567,-0.004653,0.019328,0.024256,-0.002025,-0.010567,-0.028635,0.025899,0.00356,0.018014
-0.017794,0.002574,0.021956,0.022613,0.000603,-0.006624,-0.028964,0.024913,0.037068,0.025899
-0.008924,-0.000711,0.028855,0.019328,0.002245,-0.003339,-0.030606,0.022613,0.020971,0.019657
-0.008267,-0.002354,0.023599,0.026884,-0.005967,0.002574,-0.030278,0.021956,0.025899,0.026227
-0.013195,-0.006624,0.023599,0.024913,0.005202,0.000274,-0.028307,0.020642,0.023928,0.040025
-0.015823,-0.013523,0.021628,0.026227,0.003888,0.003231,-0.026664,0.017686,0.000931,0.032469
-0.031263,-0.01878,0.010787,0.02787,0.002574,-0.000383,-0.030278,0.02327,0.026556,0.036411
-0.032577,-0.02765,0.022613,0.024256,0.00356,0.00126,-0.028964,0.022285,0.018014,0.054151
-0.020422,-0.023707,0.026884,0.023599,0.005202,-0.007939,-0.027978,0.02327,0.011772,0.038054
-0.005967,-0.019437,0.030169,0.019985,0.002574,-0.003011,-0.026664,0.022285,0.014401,0.036411
0.004217,-0.02305,0.031155,0.020314,0.007502,-0.000383,-0.027978,0.018014,0.014729,0.029512
0.002245,-0.021736,0.03444,0.022613,0.009801,-0.002682,-0.031263,0.02787,0.015715,0.016043
-0.000383,-0.020751,0.030498,0.0167,0.009801,-0.005639,-0.030278,0.02327,0.019,0.045938
-0.002682,-0.015823,0.027213,0.02327,0.012101,-0.002025,-0.030935,0.024585,0.007502,0.042653
-0.011552,-0.012209,0.026227,0.02327,0.012758,-0.005967,-0.032577,0.022942,0.025242,0.038711
0.004874,-0.02305,0.032797,0.021299,0.013415,-0.004653,-0.02535,0.019657,0.022942,0.031483
0.000931,-0.010238,0.03674,0.017686,0.015058,-0.003011,-0.026993,0.024256,0.011444,0.030826
-0.003668,-0.011552,0.03214,0.025242,0.015715,-0.001368,-0.029292,0.023928,0.008487,0.024585
-0.007939,-0.010895,0.028527,0.023928,0.017029,-0.002354,-0.030935,0.021956,0.008159,0.025899
-0.017794,-0.006624,0.027213,0.024585,0.014729,-0.005967,-0.03192,0.023599,0.016043,0.016372
-0.008596,-0.005639,0.022613,0.024256,0.011772,-0.003996,-0.026993,0.017357,0.00356,-5.4e-05
-0.006624,-0.002354,0.015058,0.025899,0.011115,-0.002682,-0.026993,0.020642,-0.011552,0.035097
-0.006296,-0.004653,0.016043,0.02557,0.009144,-0.002025,-0.027978,0.022613,0.002574,0.005859
-0.003668,-0.003339,0.014401,0.029184,0.007173,0.000603,-0.030278,0.024585,-0.003996,0.004874
0.000274,-0.003668,0.013086,0.026227,0.008159,-0.002682,-0.03422,0.022613,-0.003668,0.006188
0.006516,-0.006953,0.014729,0.026227,0.006516,-0.00531,-0.031263,0.020971,0.017357,0.00126
0.011444,0.002245,0.014729,0.029184,0.004545,-0.004325,-0.029621,0.025899,0.012101,-0.019437
0.019328,0.009144,0.017357,0.023928,0.003888,-0.001368,-0.030606,0.025899,0.009473,0.009144
0.018343,0.006516,0.0167,0.027541,0.005531,-0.008596,-0.030606,0.022285,-0.002354,0.009144
0.006516,0.001588,0.012101,0.026884,0.001588,-0.002682,-0.03192,0.029841,0.014729,0.023928
0.003231,-0.007939,0.012758,0.024913,0.004217,-0.001368,-0.02765,0.021628,0.002245,0.022942
0.002245,-0.009581,0.013086,0.031812,0.000931,0.004217,-0.028964,0.024256,0.008487,0.011115
0.004217,-0.015494,0.016372,0.028198,-0.003668,0.007173,-0.025678,0.02327,0.024585,0.031155
0.005202,-0.016151,0.015386,0.02327,0.008159,0.010787,-0.033891,0.023599,0.023599,0.033783
-0.003339,-0.015166,0.014729,0.022613,0.007173,0.008816,-0.031263,0.02787,0.029184,0.037068
0.002245,-0.017466,0.012429,0.018014,0.006188,0.006516,-0.030935,0.023599,0.03674,0.024585
-5.4e-05,-0.017137,0.017029,0.018343,0.006845,0.009473,-0.030606,0.024256,0.022613,0.034769
-0.004982,-0.021736,0.016372,0.016043,0.003888,0.012758,-0.031592,0.026556,0.035426,0.053165
-0.003011,-0.024364,0.017686,0.018343,0.004545,0.00126,-0.023379,0.024256,0.041996,0.050209
-0.000711,-0.031263,0.019,0.018014,0.006516,0.002902,-0.031263,0.021299,0.035097,0.053494
0.000931,-0.021408,0.018343,0.016372,0.008487,0.000603,-0.030278,0.020642,0.019657,0.093573
0.002902,-0.016151,0.021628,0.018014,0.010458,-0.001368,-0.031592,0.022613,0.024256,0.053822
-0.000711,-0.010895,0.019657,0.021956,0.002574,0.004545,-0.032577,0.021628,0.02327,0.056451
0.00356,-0.009581,0.021299,0.019657,0.005531,-0.006624,-0.030935,0.020971,0.020971,0.044953
-0.003011,-0.008596,0.020971,0.014072,0.005531,-0.009581,-0.029949,0.021628,0.034769,0.050866
